ファイル名,カセットNo,薬品コード,薬品名称,現在量,警告量,前回登録日,カセットNo_OK,薬品コード_OK,現在量_OK,警告量_OK,前回登録日_OK,前回登録日_dt
information_1_1.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_1_1.jpg,1-105,000599,コンテツ糖衣錠 25mg,1,0,2025/09/17,True,True,True,True,True,2025-09-17
information_1_1.jpg,1-109,002578,カルベジロール錠 10mg「サワイ」、97,0,,None,True,True,True,True,True,
information_1_1.jpg,1-110,000004,アーテン錠 2mg,33,0,2025/10/06,True,True,True,True,True,2025-10-06
information_1_1.jpg,1-111,002252,イソ酸イソルビド錠20mg「サワイ」、11,20,,None,True,True,True,True,True,
information_1_1.jpg,1-112,000016,アキネトン錠 1mg,55,0,2025/10/31,True,True,True,True,True,2025-10-31
information_1_1.jpg,1-113,000042,アストミン錠 10mg,15,0,2025/10/29,True,True,True,True,True,2025-10-29
information_1_1.jpg,1-114,000047,アスパラCA錠 200mg,495,0,2025/09/02,True,True,True,True,True,2025-09-02
information_1_1.jpg,1-115,000073,アダバダ錠 30mg,89,0,2025/10/09,True,True,True,True,True,2025-10-09
information_1_1.jpg,1-116,000132,アルダクトンA錠 25mg,68,20,2025/10/09,True,True,True,True,True,2025-10-09
information_1_1.jpg,1-117,000170,アプロリノール錠 100mg「ニプロ」、25,0,,None,True,True,True,True,True,
information_1_1.jpg,1-118,002374,ウルソデオキシコール酸錠 100mg「トーワ」、259,0,,None,True,True,True,True,True,
information_1_1.jpg,1-119,000312,エチゾラム錠 1mg,17,0,2025/09/17,True,True,True,True,True,2025-09-17
information_1_1.jpg,1-122,002522,モサプリドクエン酸塩錠5mg「日医工」、147,20,,None,True,True,True,True,True,
information_1_1.jpg,1-123,000478,カルバマゼピン錠 200mg「アメール」、35,0,,None,True,True,True,True,True,
information_1_1.jpg,1-124,000482,ボスカピン錠250mg,276,30,2025/10/23,True,True,True,True,True,2025-10-23
information_1_1.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_1_2.jpg,1-000,000000,None,,,None,True,True,True,True,True,
information_1_2.jpg,1-125,000489,カナール錠 200mg,16,20,2025/10/31,True,True,True,True,True,2025-10-31
information_1_2.jpg,1-127,002383,ニセリン錠 5mg,43,0,2025/04/14,True,True,True,True,True,2025-04-14
information_1_2.jpg,1-128,003189,テルミナ錠 40mg,31,20,2025/10/09,True,True,True,True,True,2025-10-09
information_1_2.jpg,1-129,002869,ベオーン錠 50mg,29,0,2025/10/02,True,True,True,True,True,2025-10-02
