ファイル名,薬品コード,剤,薬品名称,使用量,薬品コード_OK,使用量_OK
Usage_1_1.jpg,002644,錠剤,カンデサルタンOD錠 8mg「サワイ」,298,True,True
Usage_1_1.jpg,002291,錠剤,ドパコール配合錠L 100,1332,True,True
Usage_1_1.jpg,002282,錠剤,シロスタゾールOD錠 100mg「トーワ」,240,True,True
Usage_1_1.jpg,003201,錠剤,レベチラセタム錠 500mg「日医工」,1208,True,True
Usage_1_1.jpg,002188,錠剤,ランソプラゾールOD錠30mg「トーワ」,213,True,True
Usage_1_1.jpg,003085,錠剤,ピタバスタチンCa・OD錠 1mg「トーワ」,2942,True,True
Usage_1_1.jpg,003622,錠剤,ロスバスタチン錠 2.5mg「トーワ」,1316,True,True
Usage_1_1.jpg,003288,カプセル,フルコナゾールカプセル 50mg「F」,0,True,True
Usage_1_2.jpg,003599,錠剤,ドパコール配合錠L 50,303,True,True
Usage_1_2.jpg,002774,錠剤,フロセミド錠 20mg「NP」,442,True,True
Usage_1_2.jpg,002406,錠剤,(糖)ジャディアンス錠 10mg,489,True,True
Usage_1_2.jpg,002842,錠剤,(糖)フォシーガ錠 5mg,660,True,True
Usage_1_2.jpg,000982,錠剤,(糖)テネリア錠 20mg,563,True,True
Usage_1_2.jpg,001716,錠剤,リオナ錠 250mg,217,True,True
Usage_1_2.jpg,003282,錠剤,エンレスト錠 200mg,486,True,True
Usage_1_2.jpg,002917,錠剤,テオフィリン徐放錠 100mg「サワイ」,87,True,True
Usage_1_3.jpg,003027,錠剤,エゼチミブ錠10mg「YD」,714,True,True
Usage_1_3.jpg,002438,錠剤,アシクロビル錠200mg「トーワ」,308,True,True
Usage_1_3.jpg,003096,錠剤,エンレスト錠100mg,724,True,True
Usage_1_3.jpg,003286,錠剤,ラメルテオン錠8mg「武田テバ」,330,True,True
Usage_1_3.jpg,002187,錠剤,ランソプラゾールOD錠15mg「トーワ」,3989,True,True
Usage_1_3.jpg,001227,錠剤,ビオスリー配合錠,497,True,True
Usage_1_3.jpg,001681,カプセル,ユベラNカプセル100mg,568,True,True
Usage_1_3.jpg,001855,錠剤,ワーファリン錠1mg,167,True,True
Usage_1_3.jpg,001812,錠剤,レボトミン錠5mg,208,True,True
Usage_1_3.jpg,001783,錠剤,レキソタン錠2mg,0,True,True
Usage_1_3.jpg,001368,錠剤,プレドニゾロン錠1mg,360,True,True
Usage_1_3.jpg,000477,錠剤,カルバマセピン錠100mg「アメル」,93,True,True
Usage_1_3.jpg,000311,錠剤,エチゾラム錠0.5mg,488,True,True
Usage_1_3.jpg,002580,錠剤,カルベジロール錠2.5mg「サワイ」,646,True,True
Usage_1_3.jpg,001124,錠剤,ノイロトロピン錠4単位,763,True,True
Usage_1_4.jpg,003145,錠剤,アトルバ スタチン錠 10mg「NP」,606,True,True
Usage_1_4.jpg,001850,錠剤,ロラゼ パム錠 0.5mg「サワイ」,21,True,True
Usage_1_4.jpg,001830,錠剤,ロキソプロフェンNa錠60mg「トーワ」,597,True,True
Usage_1_4.jpg,003144,錠剤,レバミピド錠 100mg「オーツカ」,548,True,True
Usage_1_4.jpg,002263,錠剤,リマプロストアルファデ クス錠 5μg,547,True,True
Usage_1_4.jpg,001784,錠剤,レキソタン錠 5mg,0,True,True
Usage_1_4.jpg,001751,錠剤,リボトリール錠 0.5mg,728,True,True
Usage_1_4.jpg,001780,錠剤,ルプラック錠 8mg,0,True,True
Usage_1_4.jpg,001810,錠剤,レボトミン錠 25mg,17,True,True
Usage_1_4.jpg,002500,カプセル,ジルチアゼム塩酸塩Rカプセル100mg,162,True,True
Usage_1_4.jpg,002400,錠剤,ポラプレジンクOD錠 75mg「サワイ」,338,True,True
Usage_1_4.jpg,001277,錠剤,ファモチジンD錠 20mg「EMEC」,224,True,True
Usage_1_4.jpg,001276,錠剤,ファモチジンD錠 10mg「EMEC」,205,True,True
Usage_1_4.jpg,003333,錠剤,タリージェOD錠 5mg,1077,True,True
Usage_1_4.jpg,002819,錠剤,ベタヒスチンメシル酸塩錠 6mg「トーワ」,245,True,True
Usage_1_5.jpg,001637,錠剤,メジコン錠 15mg,398,True,True
Usage_1_5.jpg,001644,錠剤,メチコバール錠 500μg,1758,True,True
Usage_1_5.jpg,002506,錠剤,ロフラゼフ酸エチル錠 1mg「トーワ」,93,True,True
Usage_1_5.jpg,002402,錠剤,アンブロキソール塩酸塩錠15mg「トーワ,753,True,True
Usage_1_5.jpg,002265,錠剤,沈降炭酸カルシウム錠 500mg「三,71,True,True
Usage_1_5.jpg,001367,錠剤,プレドニゾロン錠 5mg「タケダ」,3966,True,True
Usage_1_5.jpg,003537,錠剤,トリクロルメチアジド 2mg「NIG」,30,True,True
Usage_1_5.jpg,001333,錠剤,プラバスタチンNa錠 10mg「ケミファ」,399,True,True
Usage_1_5.jpg,002330,錠剤,ラベプラゾールNa塩錠10mg 「明治,706,True,True
Usage_1_5.jpg,001146,錠剤,バイアスピリン錠 100mg,2011,True,True
Usage_1_5.jpg,003168,錠剤,ロサルタンK錠 50mg「DSEP」,166,True,True
Usage_2_1.jpg,001649,錠剤,(糖)メトグルコ錠 250mg,1028,True,True
Usage_2_1.jpg,002575,錠剤,ビムパット錠 100mg,618,True,True
Usage_2_1.jpg,002841,錠剤,オルケディア錠 1mg,115,True,True
Usage_2_1.jpg,002657,錠剤,アルファカルシドール錠 0.25μg「アメル」,631,True,True
Usage_2_1.jpg,002433,錠剤,クエチアピン錠 200mg「アメル」,253,True,True
Usage_2_2.jpg,003269,錠剤,ミルタザピン錠 15mg「明治」,913,True,True
Usage_2_2.jpg,003087,錠剤,(糖)グリメピリド錠 0.5mg「NP」,130,True,True
Usage_2_3.jpg,002431,錠剤,クエチアピン錠 25mg「アメル」,816,True,True
Usage_2_3.jpg,000112,錠剤,アムロジピンOD錠 2.5mg「トーワ」,536,True,True
Usage_2_3.jpg,002465,錠剤,リスペリドンOD錠 1mg「トーワ」,465,True,True
Usage_2_3.jpg,000113,錠剤,アムロジピンOD錠 5mg「トーワ」,2815,True,True
Usage_2_3.jpg,003423,錠剤,エスシタロプラム錠 10mg「トーワ」,118,True,True
